"Sample_ID","OTU001","OTU002","OTU003","OTU004","OTU005","OTU006","OTU007","OTU008","OTU009","OTU010","OTU011","OTU012","OTU013","OTU014","OTU015","OTU016","OTU017","OTU018","OTU019","OTU020","OTU021","OTU022","OTU023","OTU024","OTU025","OTU026","OTU027","OTU028","OTU029","OTU030","OTU031","OTU032","OTU033","OTU034","OTU035","OTU036","OTU037","OTU038","OTU039","OTU040","OTU041","OTU042","OTU043","OTU044","OTU045","OTU046","OTU047","OTU048","OTU049","OTU050","OTU051","OTU052","OTU053","OTU054","OTU055","OTU056","OTU057","OTU058","OTU059","OTU060","OTU061","OTU062","OTU063","OTU064","OTU065","OTU066","OTU067","OTU068","OTU069","OTU070","OTU071","OTU072","OTU073","OTU074","OTU075","OTU076","OTU077","OTU078","OTU079","OTU080","OTU081","OTU082","OTU083","OTU084","OTU085","OTU086","OTU087","OTU088","OTU089","OTU090","OTU091","OTU092","OTU093","OTU094","OTU102","OTU103","OTU104","OTU105","OTU106","OTU113","OTU114","OTU115","OTU116","OTU117","OTU118","OTU119","OTU120","OTU121","OTU122","OTU123","OTU124","OTU125","OTU126","OTU127","OTU128","OTU129","OTU130","OTU131","OTU132","OTU133","OTU134","OTU135","OTU136","OTU137","OTU138","OTU139","OTU140","OTU141","OTU142","OTU143","OTU144","OTU150","OTU151","OTU152","OTU153","OTU154","OTU155","OTU156","OTU157","OTU158","OTU159","OTU160","OTU161","OTU162","OTU163","OTU164","OTU165","OTU166","OTU167","OTU168","OTU169","OTU170","OTU171","OTU172","OTU173","OTU174","OTU175","OTU176","OTU177","OTU178","OTU188","OTU192","OTU193","OTU194","OTU195","OTU196","OTU197","OTU198","OTU199","OTU200","OTU201","OTU202","OTU203","OTU204","OTU205","OTU206","OTU207","OTU208","OTU209","OTU210","OTU211","OTU212","OTU213","OTU214","OTU215","OTU216","OTU217","OTU218","OTU219","OTU220","OTU221","OTU222","OTU223","OTU224","OTU225","OTU226","OTU227","OTU228","OTU229","OTU230","OTU231","OTU232","OTU233","OTU234","OTU235","OTU236","OTU237","OTU238","OTU239","OTU240","OTU241","OTU242","OTU248","OTU249","OTU250","OTU251","OTU252","OTU253","OTU254","OTU255","OTU256","OTU257","OTU258","OTU259","OTU260","OTU261","OTU262","OTU263","OTU264","OTU265","OTU266","OTU267","OTU268","OTU269","OTU279","OTU280","OTU281","OTU282","OTU283","OTU284","OTU285","OTU286","OTU287","OTU288","OTU289","OTU290","OTU291","OTU292","OTU293","OTU294","OTU299","OTU300","OTU301","OTU302","OTU303","OTU304","OTU305","OTU306","OTU307","OTU308","OTU309"
"MCPFC_75",24.38518,75.61482,68.02996,68.02996,68.02996,68.02996,68.02996,68.02996,6.83309,6.83309,6.83309,5.88187,5.88187,5.88187,5.88187,5.88187,5.88187,0.674,0.674,1.03381,1.03381,0,0,0,1.03381,0,0,10.59171,5.52994,5.52994,5.52994,5.52994,5.52994,4.74914,4.74914,4.74914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58486,7.58486,7.58486,7.58486,7.58486,7.58486,3.37285,3.37285,3.37285,3.37285,3.37285,1.68893,1.68893,1.68893,1.68893,1.68893,1.05014,1.05014,1.05014,0.674,0.674,0.674,0.674,0.40451,0.40451,0.40451,0.40451,0.40451,0.40451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCPFC_72",95.44637,4.55363,0,0,0,0,0,0,52.05255,52.05255,52.05255,3.34968,3.34968,3.34968,3.34968,3.34968,3.34968,40.04414,29.10299,12.22855,12.22855,29.10299,29.10299,29.10299,12.22855,29.10299,0,0,0,0,0,0,0,39.824,39.824,39.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.94114,10.94114,10.94114,10.94114,10.94114,4.55363,4.55363,4.55363,4.55363,4.55363,4.55363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCPFC_68",100,0,0,0,0,0,0,0,44.59648,44.21644,44.21644,23.81661,23.81661,23.81661,23.81661,23.81661,23.81661,13.06933,10.7392,36.85748,36.85748,6.35505,6.35505,6.35505,31.58401,1.65342,4.44781,11.12976,10.43674,10.43674,10.43674,10.43674,10.43674,3.25732,3.25732,3.25732,4.36262,4.36262,3.7271,0,0,3.9327,3.9327,2.87646,2.87646,2.87646,2.87646,2.87646,2.87646,0,0.22894,0.1908,0.1908,0.1908,0.1908,0.04653,0.04653,0.04653,0.04653,0.04653,2.33012,2.2301,2.2301,2.2301,2.2301,0,0,0,0,0,0,0,0,0,0,0,0.69302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25382,0,0,0,0,0,0,0,0.02153,0.02153,0.02153,0,0.02153,0,0,0,0,0,0.42992,0.42992,0,0.10002,0.10002,0.10002,0.10002,3.69183,0.49869,0.49869,0.49869,0.49869,0.29188,0.20682,3.19314,3.19314,0,0,0,0,0,0,0,0,3.19314,3.19314,3.19314,0,0,0,0,0,0,0,0,0,0,0.03814,0,0,0,0,0.03814,0.03814,0,0,0,0.03814,0,0,0,0,0.35715,1.18922,0,0,0,0,0,4.10164,0,0,0,0,4.10164,4.10164,0,0,0,0,0,0,0,0.10457,0.10457,0.10457,0.10457,0.10457,0,0,0,0,0,0,0,0,0,0,0.69302,0,0,0,0.69302,0.69302,0.69302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81954,0.81954,0.81954,0.81954,0.81954,0.31422,0,0,0.50532,0,0
"MCPFC_63",70.61443,29.38557,29.38557,29.38557,29.38557,29.38557,29.38557,29.38557,22.80755,21.7841,21.7841,20.27565,20.27565,20.27565,20.27565,20.27565,20.27565,19.92222,19.92222,16.14283,16.14283,15.23769,15.23769,15.23769,12.46726,7.61611,6.74621,6.68565,6.68565,6.68565,6.68565,6.68565,6.68565,5.64127,5.64127,5.64127,4.68454,4.68454,3.67557,3.51747,3.51747,1.16706,1.16706,0.92335,0.92335,0.92335,0.92335,0.92335,0.92335,0.87537,0.86023,0.86023,0.86023,0.86023,0.86023,0.16322,0.16322,0.16322,0.16322,0.16322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCPFC_62",82.31928,17.68072,17.61746,17.61746,17.61746,17.61746,17.61746,17.61746,40.46093,28.10883,28.10883,8.10278,8.10278,8.10278,8.10278,8.10278,8.10278,15.56878,15.06247,10.97647,10.72034,6.08174,6.08174,6.08174,4.45097,2.64519,0.35621,12.61045,4.91027,4.91027,4.91027,4.91027,4.91027,16.54317,16.54317,16.54317,5.39267,5.39267,6.26937,0.40778,0.40778,4.98489,4.98489,3.52712,3.52712,3.52712,3.52712,3.52712,3.52712,2.09066,12.3521,0.26191,0.26191,0.26191,0.148,0,0,0,0,0,0.50631,0.50631,0.50631,0.50631,0.47312,0.06326,0,0,0,0,0,0.3338,0,0,0,0,7.36638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06326,0.06326,0.06326,0.06326,0.06326,0,0,0,0,0.2091,0,0,0,0.20174,0,0.57884,0,0,0,0,0.68582,0.68582,0.68582,0.68582,0,2.90224,2.90224,2.90224,2.90224,0,0,0,0.03319,0,0,0,0,1.49066,0.89527,0.89527,0.89527,0.89527,0,0.89527,0.59539,0.59539,0,0,0,0,0,0,0,0,0.59539,0.59539,0.59539,0,0,0,0,0,0,0,0,0,0.11391,12.09019,0.83485,0.83485,0.23854,0.59631,11.25533,11.25533,0,0,0,0,0.16207,11.00041,0.09286,0,0,0,0.25614,0.25614,0,0,0,0.58919,0,0,0,0,0.43114,0.43114,0.15805,0.15805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4285,4.08709,4.08709,4.08709,0.34141,0.34141,0.34141,2.93787,2.93787,0.05533,0.05533,0,0,0,0,2.88254,0.74057,0,0.16986,1.76601,0.20611,0,0,0,0,0,0,0,0.20734,0.20734,0.20734,0,0.20734,0.12646,0.12646,0.12646,0,0.12646,0.55857,0.55857,0.55857,0.55857,0.55857,0.38728,0,0,0.17129,0,0
"MCPFC_56",77.52381,22.47619,22.47619,22.47619,22.47619,22.47619,22.47619,22.47619,16.6178,3.34542,3.34542,3.79215,3.79215,3.79215,3.79215,3.79215,3.79215,36.72518,35.93873,1.35962,1.35962,32.98515,32.98515,32.98515,0.90475,10.70346,2.70826,17.12047,0.09857,0.09857,0.09857,0.09857,0.09857,1.6377,1.6377,1.6377,2.23374,2.23374,0.45488,0.07623,0.07623,2.15751,2.15751,0.63416,0.63416,0.63416,0.63416,0.63416,0.63416,15.39221,13.16947,0.11627,0.11627,0.11627,0.11627,0,0,0,0,0,0.78645,0.78645,0.78645,0.78645,0.58818,0,0,0,0,0,0,0.09173,0,0,0,0,16.88582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74423,0,0,0.67537,0.86224,0,1.89938,0,0,0,0,0.71984,0.71984,0.71984,0,0.71984,0,0,0,0,0,0,0,0.19827,0,0,0,0,2.54836,0.066,0.066,0.066,0.066,0,0.066,0.85436,0.85436,0,0,0,0,0,0,0,0,0.85436,0.85436,0.54857,0.30579,1.628,1.628,1.628,1.628,0.24999,0,0,1.37802,0,13.0532,0.67208,0.67208,0,0.67208,12.38112,12.38112,0,0.19527,1.62969,0,0.74453,9.52292,0.28872,0,0,0,0,0,0,0,0,0.34809,0,0,0,0,0.34809,0.34809,0,0,0.10291,0.10291,0.10291,0.10291,0.10291,0,0,0,0,0,0.08569,0.08569,0.08569,0.08569,0.08569,0.08569,0,0,0,0,5.7305,5.7305,5.7305,5.7305,0,0,0,11.15532,11.15532,0,0,0,0,0,0,11.15532,4.48669,0,0,3.09258,3.57605,0,0.04436,0.04436,0.04436,0.04436,0,0.04436,0,0,0,0,0,0.09173,0.09173,0.09173,0,0.09173,0,0,0,0,0,0,0,0,0,0,0
"MCPFC_55",83.35184,16.64816,16.64816,16.64816,16.64816,16.64816,16.64816,16.64816,40.20074,37.40088,37.40088,11.82695,11.82695,11.82695,11.82695,11.82695,11.82695,16.03989,15.13827,16.8282,16.77005,10.27438,10.27438,10.27438,8.50477,4.81241,1.09835,10.128,6.17997,6.17997,6.17997,6.17997,6.17997,18.17545,18.17545,18.17545,4.64045,4.64045,6.21813,0,0,4.64045,4.64045,1.83806,1.83806,1.83806,1.83806,1.83806,1.83806,0.01091,2.11901,0.01551,0.01551,0.01551,0,0.04578,0.04578,0.04578,0.04578,0.04578,0.90161,0.82512,0.82512,0.82512,0.82512,0,0,0,0,0,0,0.18278,0,0,0,0,3.74938,0,0,0,0,0.08208,0.08208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22319,0.08678,0.00946,0,0,4.03327,0,0,0,0,0.22345,0.22345,0.22345,0,0.22345,0,0,0,0,0,0,0,0,0.07649,0.07649,0.07649,0.07649,1.85366,1.16083,1.16083,1.16083,1.16083,0.02895,1.13188,0.50668,0.50668,0.00286,0.00286,0,0.00286,0.00866,0.00866,0,0.00866,0.49516,0.49516,0.48128,0.01389,0.18615,0.18615,0.18615,0.18615,0.07366,0,0.01568,0.0968,0.01551,2.10351,0.06035,0.06035,0,0.06035,2.04316,2.04316,0.10679,0,0,0,0,1.49635,0.44002,0.08208,0.07816,1.96899,0.05816,0.05816,0.28561,0.28561,0.28561,2.02955,0.04507,0.04507,0.21869,0.21869,1.7658,1.7658,0,0,0.03705,0.03705,0.03705,0.03705,0.03705,0.59802,0.59802,0.59802,0.59802,0.59802,0.18025,0.18025,0.18025,0.11334,0.11334,0.11334,0,0.06691,0.06691,0.06691,2.73789,1.89678,1.89678,1.89678,0.8411,0.8411,0.8411,1.0115,1.0115,0,0,0.06493,0.06493,0,0,0.94656,0.20756,0,0,0,0.17892,0.56008,0.01586,0.01586,0.01586,0.01586,0.00737,0.00849,0.14107,0.14107,0.14107,0.04514,0.09594,0.04171,0.04171,0.04171,0.01546,0.02625,1.28429,1.28429,1.28429,1.28429,1.28429,0.36445,0.04004,0.16684,0.71297,0,0
"MCPFC_48",71.30521,28.69479,28.69479,28.69479,28.69479,28.69479,28.69479,28.69479,40.04209,36.89791,36.89791,4.10172,4.10172,4.10172,4.10172,4.10172,4.10172,20.77231,20.20506,27.75456,27.75456,15.2109,15.2109,15.2109,12.8237,7.48212,0,3.9332,3.9332,3.9332,3.9332,3.9332,3.9332,9.14335,9.14335,9.14335,2.07393,2.07393,14.41186,0,0,2.07393,2.07393,2.24193,2.24193,2.24193,2.24193,2.24193,2.24193,6.04251,3.14417,2.02085,2.02085,2.02085,2.02085,0,0,0,0,0,0.56725,0.56725,0.56725,0.56725,0.56725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15897,0,0.78603,0,0,0.74127,0,0,0,0,1.91425,1.91425,1.91425,0,1.91425,1.00598,1.00598,1.00598,0,1.00598,0,0,0,0,0,0,0,0.21397,0,0,0,0,0,0,0.21397,0.21397,0,0,0,0,0,0,0,0,0.21397,0.21397,0.21397,0,0,0,0,0,0,0,0,0,0,1.12332,0,0,0,0,1.12332,1.12332,0,0,0,0,0,1.12332,0,0,0,0.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCPFC_46",100,0,0,0,0,0,0,0,46.68732,40.1465,40.1465,19.74283,19.74283,19.74283,19.74283,19.74283,19.74283,6.74827,6.49613,12.59247,12.59247,6.04516,6.04516,6.04516,6.06963,1.99322,3.48683,14.64027,14.51404,14.51404,14.51404,14.51404,14.51404,26.17974,26.17974,26.17974,0.45097,0.45097,6.01792,0.25392,0.25392,0.19705,0.19705,7.09994,7.09994,7.09994,7.09994,7.09994,7.09994,0.0448,6.50998,6.37913,6.37913,6.37913,6.37913,0.03084,0.03084,0.03084,0.03084,0.03084,0.25214,0.25214,0.25214,0.25214,0.25214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4819,0.03842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46846,0.36159,0.36159,0.36159,0.36159,0.36159,0,4.10688,4.10688,0,0,0,0,0,0,0,0,4.10688,4.10688,4.10688,0,0,0,0,0,0,0,0,0,0,0.13085,0,0,0,0,0.13085,0.13085,0,0,0,0.13085,0,0,0,0,0.1094,0.39551,0,0,0,0,0,1.37429,0,0,0,0,1.37429,1.37429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12623,0.12623,0.12623,0.12623,0.12623,0,0,0,0,0,0,0,0,0,0,0,0.6129,0.6129,0.6129,0.6129,0.6129,0.13655,0,0,0.47635,0,0
"MCPFC_45",100,0,0,0,0,0,0,0,32.38428,25.9778,25.9778,2.10554,2.10554,2.10554,2.10554,2.10554,2.10554,39.07169,38.50664,18.24686,18.24686,32.19067,32.19067,31.90647,7.40748,16.70712,0.98645,20.64627,4.81978,4.81978,4.81978,4.81978,4.81978,0,0,0,4.37564,4.37564,9.94004,0,0,4.37564,4.37564,3.28505,3.28505,3.28505,3.28505,3.28505,3.28505,1.16884,4.8984,1.28411,1.28411,1.28411,0.33626,0,0,0,0,0,0.56505,0.56505,0.56505,0.56505,0.56505,0,0,0,0,0,0,1.06001,0,0,0,0,14.76647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2842,0.2842,0,0,1.72615,2.72463,1.28183,0.29366,0,0,7.01779,0,0,0,0,0.59675,0.59675,0.59675,0,0.59675,1.34358,1.34358,1.34358,1.34358,0,0,0,0,0,0,0,0,2.02774,0.79284,0.79284,0.79284,0.79284,0,0.79284,0.71402,0.71402,0,0,0,0,0,0,0,0,0.71402,0.71402,0.71402,0,0.52089,0.52089,0.52089,0.52089,0.33876,0.07397,0,0.10816,0.94785,3.61429,0.40075,0.40075,0,0.40075,3.21354,3.21354,0,0,1.15691,0,0.33384,1.609,0.11379,0,0.03236,0.86697,0,0,1.49127,1.49127,1.49127,6.23968,0,0,0.5454,0.5454,5.69428,5.69428,0,0,0,0,0,0,0,1.50808,1.50808,1.50808,1.50808,1.50808,0.09734,0.09734,0.09734,0.09734,0.09734,0,0.09734,0,0,0,12.99019,4.92492,4.92492,4.92492,8.06527,8.06527,8.06527,1.77628,1.77628,1.17315,1.17315,0,0,0,0,0.60313,0,0,0,0,0.60313,0,0,0,0,0,0,0,0.90206,0.90206,0.90206,0.18736,0.7147,0.15796,0.15796,0.15796,0.15796,0,0.3821,0.3821,0.3821,0.3821,0.3821,0.188,0,0,0.1941,0,0
"MCPFC_37",76.44477,23.55523,23.55523,23.55523,23.55523,23.55523,23.55523,23.55523,21.58478,17.22696,17.22696,2.74296,2.74296,2.74296,2.74296,2.74296,2.74296,21.13982,18.82291,8.2239,8.2239,14.75865,14.75865,14.75865,4.45666,9.43891,1.09737,25.87374,8.93979,8.93979,8.93979,8.93979,8.93979,8.84932,8.84932,8.84932,2.60442,2.60442,3.71078,0,0,2.60442,2.60442,2.6379,2.6379,2.6379,2.6379,2.31872,2.31872,2.05056,4.3382,0.29115,0.29115,0.29115,0.23777,0.01963,0.01963,0.01963,0.01963,0.01963,2.3169,2.31075,2.31075,2.31075,1.99785,0,0,0,0,0,0,0.07481,0,0,0,0,16.83561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16298,0,0.12824,0.03238,0,1.8482,0.16563,0.16563,0.16563,0.16563,0.43175,0.43175,0.43175,0.29644,0.13532,0.86246,0.86246,0.86246,0.86246,0,0,0,0.3129,0.00615,0.00615,0.00615,0.00615,2.28882,1.21335,1.21335,1.21335,1.21335,0.62953,0.58382,0.67996,0.67996,0,0,0,0,0,0,0,0,0.67996,0.67996,0.62178,0.05818,0.39551,0.39551,0.39551,0.39551,0.20438,0,0.05886,0.13227,0.05338,4.04705,0.71733,0.71733,0.09532,0.62201,3.32972,3.32972,0,0,0,0.25467,0.02204,3.05301,0,0,0,0.05646,0,0,0.0183,0.0183,0.0183,0.13544,0,0,0.01388,0.01388,0.12156,0.12156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26388,7.78481,7.78481,7.78481,2.47906,2.47906,2.47906,6.57173,6.57173,0,0,0,0,0.24278,0.24278,6.32895,2.38656,0,0.47099,0.60023,2.87116,0,0.02353,0.02353,0.02353,0.02353,0,0.02353,0.03654,0.03654,0.03654,0,0.03654,0.03827,0.03827,0.03827,0.03827,0,0.17675,0.17675,0.17675,0.17675,0.17675,0.08166,0,0,0.09508,0.31918,0.31918
"MCPFC_29",84.15838,15.84162,15.84162,15.84162,15.84162,15.84162,15.84162,15.84162,50.92826,47.00306,47.00306,21.69484,21.69484,21.69484,21.69484,21.69484,21.69484,6.76158,6.01997,29.68071,29.68071,2.33182,2.33182,2.33182,14.89221,0.57088,0,2.27297,1.93682,1.93682,1.93682,1.93682,1.93682,16.9622,16.9622,16.9622,0,0,14.78851,0,0,0,0,1.52587,1.52587,1.52587,1.52587,1.52587,1.52587,1.76094,3.75179,3.75179,3.75179,3.75179,3.75179,0.08807,0.08807,0.08807,0.08807,0.08807,0.7416,0,0,0,0,0,0,0,0,0,0,0.33615,0.33615,0.33615,0.33615,0.33615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68815,3.68815,3.68815,0,3.68815,0,0,0,0.7416,0.7416,0.7416,0.7416,0.67233,0.08039,0.08039,0.08039,0.08039,0.08039,0,0.59194,0.59194,0,0,0,0,0,0,0,0,0.59194,0.59194,0.59194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36014,0,0,0,0,0.36014,0.36014,0,0,0,0,0,0,0,0.08534,0.08534,0.08534,0.08534,0.08534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30254,0.30254,0.30254,0.30254,0.30254,0,0,0,0.30254,0,0
"MCPFC_15",58.36443,41.63557,41.63557,41.63557,41.63557,41.63557,41.63557,41.63557,25.07747,23.03809,23.03809,5.48985,5.48985,5.48985,5.48985,5.48985,5.48985,13.80451,12.90834,8.60464,8.60464,10.50952,10.50952,10.50952,6.35017,3.99192,0.73234,9.94342,7.18262,7.18262,7.18262,7.18262,7.18262,12.48411,12.48411,12.48411,1.73348,1.73348,2.18554,0,0,1.73348,1.73348,1.29902,1.29902,1.29902,1.29902,1.29902,1.29902,1.33503,1.80717,0.40729,0.40729,0.40729,0.40729,0,0,0,0,0,0.89617,0.89617,0.89617,0.89617,0.89617,0,0,0,0,0,0,0.55353,0,0,0,0,2.15068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03168,0.08911,0.87938,0.24781,0,1.28206,0,0.01918,1.90101,0,0,0,0,0.66535,0.66535,0.66535,0,0.66535,0,0,0,0,0,0,0,0,0,0,0,0,2.15092,0.53344,0.53344,0.53344,0.53344,0.19164,0.34181,1.00368,1.00368,0.00934,0.00934,0.00934,0,0.16359,0.16359,0.00282,0.16078,0.83075,0.83075,0.8258,0.00495,0.6138,0.6138,0.6138,0.6138,0.14528,0.04402,0.145,0.27949,0,1.39988,0.15159,0.15159,0,0.15159,1.24829,1.24829,0,0,0,0,0.3232,0.79044,0.13465,0,0.00492,0.06402,0,0,0,0,0,1.94935,0,0,0.08755,0.08755,1.8618,1.8618,0,0,0.09662,0.09662,0.09662,0.09662,0.09662,0.13559,0.13559,0.13559,0.13559,0.13559,0.05983,0.05983,0.05983,0.02837,0.02837,0.02837,0,0.03145,0.03145,0.03145,1.36536,0.90796,0.90796,0.90796,0.45739,0.45739,0.45739,0.78533,0.78533,0.24065,0.24065,0,0,0,0,0.54467,0.37293,0.08084,0,0,0.0909,0,0.05659,0.05659,0.05659,0.05659,0,0.05659,0.42395,0.42395,0.42395,0.04268,0.38127,0.12958,0.12958,0.12958,0,0.12958,0.53942,0.53942,0.53942,0.53942,0.53942,0.08946,0,0.05632,0.39364,0,0
"MCPFC_11",100,0,0,0,0,0,0,0,54.97437,40.70628,40.70628,9.15778,9.15778,9.15778,9.15778,9.15778,9.15778,26.1879,24.29055,28.49958,28.38613,21.94976,21.94976,21.94976,8.88894,10.1266,4.59775,8.00698,3.50607,3.50607,3.50607,3.50607,3.50607,11.64591,11.64591,11.64591,1.60946,1.60946,19.49718,0,0,1.60946,1.60946,0.6581,0.6581,0.6581,0.6581,0.6581,0.6581,2.75632,14.26809,0,0,0,0,0,0,0,0,0,1.89735,1.89735,1.89735,1.89735,1.89735,0,0,0,0,0,0,0,0,0,0,0,4.5009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03537,0,0,0.98772,0,3.44601,0,0,0,0,0,0,0,0,0,0.73133,0.73133,0.73133,0.35639,0.37493,0,0,0,0,0,0,0,1.01487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01487,1.01487,1.01487,1.01487,1.01487,0,0,0,0,14.26809,0,0,0,0,14.26809,14.26809,0,0,0,0,0,13.7516,0.51649,0,0,0,0.11345,0.11345,0,0,0,0.56078,0,0,0,0,0.56078,0.56078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15602,2.15602,2.15602,2.15602,0,0,0,2.34489,2.34489,0,0,0,0,0,0,2.34489,0.05879,0,0,2.04408,0.24202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
